,id,judul,penyanyi,link,lirik,lang
4101,4102,Girl On Fire,Fatin Shidqia Lubis,https://lirik.kapanlagi.com/artis/fatin-shidqia-lubis/girl-on-fire/,"She's just a girl, and she's on fire Hotter than a fantasy, like a highway longer She's living in a world, and it's on fire Feeling the catastrophe, but she knows she can fly away Oh, she got both feet on the ground And she's burning it down Oh, she got her head in the clouds And she's not backing down This girl is on fire This girl is on fire She's walking on fire This girl is on fire Everybody stands, as she goes by Cause they can see the flame that's in her eyes Watch her when she's lighting up the night Nobody knows that she's a lonely girl And it's a lonely world But she gon 'let it burn, baby, burn, baby This girl is on fire This girl is on fire She's walking on fire This girl is on fire Oh, oh, oh ... She's just a girl, and she's on fire",en
4111,4112,Give Me Green,Netral,https://lirik.kapanlagi.com/artis/netral/give-me-green/,I feel just like stupid I feel just like a dumb I don't know what the hell is this Keep me cool... Something satisfy my soul like and enjoy it Feels like touch the heaven and now I am free All my troubles are gone all gone from this brain But now I'm on my own only with my dream... Come on show me your way take me Take me to your door don't go before I fall Give a fantasy I am high fly with my wings I don't care About any shit I don't care about the people I'm still with you,en
4116,4117,Glorious,Snickers And The Chicken Fighter,https://lirik.kapanlagi.com/artis/snickers-and-the-chicken-fighter/glorious/,"I'm writing a note a picture of my consecution I'm seeing the odd about how's life turn to be You don't know how to face 'em but those things will always there It's not to make confusing, but all problems you should bear This is our day..on our glorious time (this is our day [3x]) This our day..on our glorious time (this is our time [3x]) Don't you fear bout nothing, for the problems that will come We could face it all together and together as one... I'm waiting in line to realize our expectation Of being a master of all the past that we have done... You don't know how to face 'em but those things will always there It's not meant to make confusing, but all problems you should bear This is our day..on our glorious time (this is our day [3x]) This our day..on our glorious time (this is our time [3x]) Don't you fear bout nothing, for the problems that will come We could face it all together and together as one... We don't care about the questions We believe in what we do It's all about the questions That will coming after you This is our day..on our glorious time (this is our day [3x]) This our day..on our glorious time (this is our time [3x]) Don't you fear bout nothing, for the problems that will come We could face it all together and together as one... To my mother, I'm really sorry I let you down on a several years To my father, I'm really sorry I let you down on a several years To all my good friend and fellas among me I hope We can gather round like we used to be To all my good friend and fellas among me I hope We can gather round like we used to be",en
4117,4118,Glorious (feat. Skylar Grey,Macklemore,https://lirik.kapanlagi.com/artis/macklemore/glorious-feat-skylar-grey/,"You know I'm back like I never left Another sprint, another step Another day, another breath Been chasing dreams, but I never slept I got a new attitude and a lease on life And some peace of mind Seek and I find I can sleep when I die Wanna piece of the pie, grab the keys to the ride And shit I'm straight I'm on my wave, I'm on my wave Get out my wake, I'm running late, what can I say? I heard you die twice, once when they bury you in the grave And the second time is the last time that somebody mentions your name So when I leave here on this earth, did I take more than I gave? Did I look out for the people or did I do it all for fame? Legend it's exodus searching for euphoria Trudging through the mud to find the present, no ignoring us Got 20, 000 deep off in the street like we some warriors My mama told me never bow your head, woo! I feel glorious, glorious Got a chance to start again I was born for this, born for this It's who I am, how could I forget? I made it through the darkest part of the night And now I see the sunrise Now I feel glorious, glorious I feel glorious, glorious I'm feeling glorious The crib looking Victorian (oh yes it is) You know that we been going in Since we hopped out that Delorean (Delorean, yeah we win) En garde, things are just things They don't make you who you are Can't pack up a U-Haul and take it with you when you're gone We posted on the porch, my family's glasses to the stars My grandma smiling down on me like woo, that boy got bars Okay, okay, yes I do I said amen and hallelujah, let me testify too Another morning, a morning, don't let self get in my way I got my breath, I got my faith and I remember why I came I feel glorious, glorious Got a chance to start again I was born for this, born for this It's who I am, how could I forget? I made it through the darkest part of the night And now I see the sunrise Now I feel glorious, glorious I feel glorious, glorious We gon' be alright, put that on my life When I open my eyes, hope I see you shine We're planting a flag they don't understand The world is up for grabs We gon' be alright, put that on my life When I open my eyes, hope I see you shine We're planting a flag they don't understand The world is up for grabs I feel glorious, glorious Got a chance to start again I was born for this, born for this It's who I am, how could I forget? I made it through the darkest part of the night And now I see the sunrise Now I feel glorious, glorious I feel glorious, glorious",en
4118,4119,Glory (OST Gue),Disconnected,https://lirik.kapanlagi.com/artis/disconnected/glory-ost-gue/,"GLORY Hey there is just a single word I say Fight for the glory that weâll get one day Itâs like a feeling Thatâs what I call for feeling Try and keep moving on Vain, lust, fury arenât always true Care for each other is the only clue Deep down your feeling Thatâs what I call for feeling Tell me whatâs going on in feeling And all day long thereâs always race Thereâs something, I remember The word I love to say hey Thereâs something, I remember The only thing to sayâ¦ Feelingâ¦ Thatâs what I call a Feelingâ¦ Touch your glory deeper Feelingâ¦ â¦ And all day long thereâs always race And all day long weâre going crazy And all day long thereâs always race And all day long weâre going crazy And all day long thereâs always race And all day long weâre going crazy And all day long thereâs always race And all day long weâre going crazy",en
4120,4121,Glow,Melly Goeslaw,https://lirik.kapanlagi.com/artis/melly-goeslaw/glow/,"Ku tak jahat, tapi ku tak baik Mungkin ku tak punya Cinta yang kau mau Namun ku terang ku bercahaya Memancar glow, (glow), glow, (glow),glow, (glow)! Ku tak bisa berdiri saja Sementara musikku teriak memanggil (On the dance floor what are you waiting for) The music glow, (glow), glow, (glow),glow, (glow)! Reff: Yeah Iâm happy all of them Membuatku merasa Oh happy all I though Menyentuh bintang-bintang Glow establish to your life Music is my energy (Glow, glow, glow!) Dan ku hanya ingin bahagiakanmu Membawa cintamu setinggi-tingginya Siapkah dirimu melayang Bersama glow, (glow), glow, (glow),glow, (glow)! Gerakkan cintamu yang dingin Ku bakar jiwamu dengan cahayaku On the dance floor what youâre waiting for The music glow, (glow), glow, (glow),glow, (glow)! Back to: Reff Coda: My energy, my music My life, my soul (My energy my music my life my soul my spirit my life) And Iâm glow with glow yeah...!",en
4122,4123,Go,Anggun,https://lirik.kapanlagi.com/artis/anggun/go/,"Go away broken heart there's no more space for your anger, no longer go away endless tears i've no patience for your sadness, i could careless go away far from here take all your belongings run as fast as you can, you won't see me crying go away loneliness please stop yelling my name out loud, you're not allowed go away wasted dreams you're never welcomed in my head, my mind's set go away far from here can't stand you beside me run as fast as you can and don't look back at me After all those times, breathing for him After all those lies, coming from him After all those nights, unbelieving After all those why's, why didn't i see he's not meant for me go away desperation now's the time to leave me alone, on my own go away all regrets i never want to see you again, it's your end go away far from here and back to where you come from run as fast as you can away from my home After all those times, breathing for him After all those lies, coming from him After all those nights, unbelieving After all those why's, why did i fall why couldn't i know ? why didn't i see ? why o why did i love him ? after all those times, now i feel better after all those lies, i've no more anger after all those nights, i've stopped to wonder after all those why's, i've learnt to let you go i have let him go",en
4131,4132,God Can Do (Tuhan Pasti Sanggup),Mike Idol,https://lirik.kapanlagi.com/artis/mike-idol/god-can-do-tuhan-pasti-sanggup/,Seek his love and just be strong When your life seems hard and leads no where He will be there and will always with you Keep your faith and hope He's so divine God can do all things His loving hands will lift and save you always God can do all things He will never ever leave you alone Jesus guide you with his light He brighten even in your darkest night He will be there and will always with you Keep your faith and hope He's so divine God can do all things His loving hands will lift and save you always God can do all things He will never ever leave you alone God can do all things His loving hands will lift and save you always God can do all things He will never ever leave you alone Jesus never leave us alone,en
4132,4133,God Is Our Victory,True Worshippers,https://lirik.kapanlagi.com/artis/true-worshippers/god-is-our-victory/,"You're the One who stands before us You're the One who brought us out From the darkness You're the mighty God who saves us When the storms and fires are Raging all around us If God is for us Who'll stand against us? Who can separate us From the love of Christ? If God is for us who can divide us? You have overcome the world By Your great love Let God arise, let God arise Let us behold Him and bow down He leads us all through battles won God is our victory and we shall rise God is our victory",en
4133,4134,God Is The Light (feat. Yusuf Islam),Raihan,https://lirik.kapanlagi.com/artis/raihan/god-is-the-light-feat-yusuf-islam/,"How Great The Wonder Of The Heavens And The Timeless Beauty Of The Night How Great Then How Great The Creator ? And It's Star Like Priceless Jewels Far Beyond The Reach Of Kings Bow Down For The Shepherd Guiding Him Home But How Many Eyes Are Closed To The Wonder Of This Night ? Like Pearls, Hidden, Deep Beneath A Dark Stream Of Disires But Like Dreams Vanish With The Call To Prayer And The Dawn Extinguishes Night - Here Too Are Signs God Is The Light (2X) How Great The Beauty Of The Earth And The Creatures Who Dwell On Her How Great - Then How Great The Creator ? As Its Mountains Pierce The Clouds High Above The Lives Of Men Weeping Rivers For Thousand Of Years But How Many Hearts Are Closed To The Wonders Of This Sight ? Like Birds In A Cage, Assleep With Closed Wings But Like Work Stops With The Call To Prayer And The Birds Recite - Here Too Are Signs God Is The Light, God Is The Light How Great The Works Of Man And The Things He Makes How Great, Then How Great The Creator ? Thought He Strives To Reach The Heavens He Can Barely Survive The Wars Of The World He Lives In Yet How Many Times He's Tried, Himself To Immortalize ? Like His Parents Before Him In The Garden Of Eden But Like The Sunsets With The Call To Prayer And Surrenders To The Night Here Too Are Signs God Is The Light Everlasting (3X)",en
4137,4138,Going Back To My Roots,Odyssey,https://lirik.kapanlagi.com/artis/odyssey/going-back-to-my-roots/,"ZippinÂ´ up my boots, goinÂ´ back to my roots, yeah, To the place of my birth, back down to earth. IÂ´ve been standing in the rain, Drenched and soaked with pain, Tired of shortime benefits And being exposed to the elements. IÂ´m homeward bound, got my head turned around. ZippinÂ´ up my boots, goinÂ´ back to my roots, yeah, To the place of my birth, back down to earth. AinÂ´t talk inÂ´ Â´bout no roots in the land, TalkinÂ´ Â´bout no roots in the man. I feel my spirit gettinÂ´ old, ItÂ´s time to recharge my soul. IÂ´m zippinÂ´ up my boots, goinÂ´ back to my roots. To the place of my birth, back down to earth.",en
4160,4161,Gonna Be Your Lover Tonight,KLA Project,https://lirik.kapanlagi.com/artis/kla-project/gonna-be-your-lover-tonight/,"In the grey of the evening When the time is right Gonna visit my lovin' Her hand is soft and warm I opened my window The signal is loud and clear Watch a talkin' on the phone babe Speak louder, I can't hear 'Cause I know exactly what I do The pain that's in my heart Is burnin' right from the start Pretty baby I give you my soul Please give me tenderness Stop actin' like a fool Runnin' to the stairway Yo' face sticked on my mind Can hear my Mom's callin' I have to be home for dinner (huh) Can feel my heart beat It's pumpin' hard and strong I still gonna visit mt lovin' Sorry Mom, no can do 'Cause I know exactly what I do The pain that's in my heart Is burnin' right from the start Pretty baby I give you my soul Please give me tenderness Stop actin' like a fool Tell me something (Nice) Whisper nice thing (Twice) And all your lovin' 'Cause I need some lovin' tonite Then I tell you something (Yes) I give you lovin' (Tenderness) And all you longin' 'Cause I gonna be your lover tonite My temperature is risin' now It's time to make something dirty It ain't time to go home, babe! You know why? Pretty baby I give you my soul Please give me tenderness Stop actin' like a fool",en
4164,4165,Good Morning,D cinnamons,https://lirik.kapanlagi.com/artis/d-cinnamons/good-morning/,"D'cinnamons - Good Morning See the sky So Clear So Cold Feel the spirit of the brighter day today Hear the green says So Peace So Calm Feel the peacefullness and hopefulness today Good Morning, My Love I love you Hear the voices They're singing for you They said bout the happiness today Feel the wind touch your soul So deep Wake you up Good Morning, My Love I Love You But suddenly, There's something disturb all of peacefullness There's something destroy all of happiness Never wanna let go this beautiful, beautiful day no They're making sound They're making smell Disturb me! Disturb me! No..See the sky So Clear So Cold Feel the spirit of the brighter day today Hear the green says So Peace So Calm Feel the peacefullness and hopefulness today Good Morning, My Love I love you Hear the voices They're singing for you They said bout the happiness today Feel the wind touch your soul So deep Wake you up Good Morning, My Love I Love You But suddenly, There's something disturb all of peacefullness There's something destroy all of happiness Never wanna let go this beautiful, beautiful day no They're making sound They're making smell Disturb me! Disturb me! No..",en
4167,4168,Good Things Bad Things,Gugun Blues Shelter,https://lirik.kapanlagi.com/artis/gugun-blues-shelter/good-things-bad-things/,"Thereâs nothing I wanna do, but sit and watch They talk and laugh, No-one cares Iâm stranded in painful silence Hereâs the sun rise, but who knows where Hereâs the sun set, who knows where And in the night, people desperately seek Who knows what or by What means, then suddenly screams, their unseen selves Hereâs the good things, but who knows what Hereâs the bad things, who knows what it means Hereâs the sun rise, hereâs the sun set Hereâs the good things, hereâs the bad things.",en
4168,4169,Good Time,Glenn Fredly,https://lirik.kapanlagi.com/artis/glenn-fredly/good-time/,"You donât even have to try It comes easy for you The way you move is so appealing It could make me cry Go out driving with my friends In Bobbyâs big old beat up car Iâm with a lot of people then, you know I wonder, I wonder, where you are Good times, bad times, give me some of that Good times, bad times, give me some of that Good times, bad times, give me some of that I donât want to say goodbye Donât want to walk you to the door I spend a little time with you I want a little more Good times, bad times, give me some of that Good times, bad times, give me some of that Good times, bad times, give me some of that [ girl speak ] Good times, bad times, give me some of that Good times, bad times, give me some of that Good times, bad times, give me some of that Good times, bad times, give me some of that Good times, bad times, give me some of that Good times, bad times, give me some of that",en
4169,4170,Good Time (Feat. Fade2Black),Bondan Prakoso,https://lirik.kapanlagi.com/artis/bondan-prakoso/good-time-feat-fade2black/,"Yea..ough..we back again.. Its Bondan Prakoso & Fade2Black This is how gonna have some goodtimes together, baby! Santoz: This is the time, when I was a 17 in the year of 99 This is the time, when everything look so..so shine This is not about me Iâm just telling you..hmm.how it be being young, feel free (oo) living out freakers like a rock star shit.. Right brother?? mommy, i donât wanna getting older so i can get freez and disorder you wish..yea..i wish.. everything just like..like diz *Reff: That is how it goes..the way we have some good times That is we do it..yeaaah..huhu 2x Lezz: Yo..tell ya another story back in 99 Growing in my grey pants, this is the best time Have someone special, sugar on my school aku bertingkah sok romantis seperti Doel Sumbang seperti clown, seperti wayang Remaja sepertiku kadang ngga berpikir panjang Breaking all da rulez..breakin all da rulez i do da bad thing..and I think Iâm f***** fool i aint âcrazy legsâ but I can rock it steady walau nakal tetap kontrol..it sounds so preety come on chek it out..can you feel me?? Good time forever..masa lalu indahku Back to *Reff Titz: Yo memang, rasanya waktu telah lama berlalu Sejuta kenangan masa lalu pun menyatu Kuingat pertama kali ku rasakan cinta Hingga harus terima hukuman orang tua Yang pasti masa lalu takkan pernah berakhir Fisik menghilang, tapi cinta kan tetap mengalir seperti air hujan yang mampu sirami padang kering yang butuh sentuhan hati yea..good times, boy.. will never role out, boy live your life, woy..relax and enjoy!! dan jika kau sedang merasakan bahagia, maka kuminta angkat tanganmu ke udaraaaa!! Good times will never roll out boy.. (Cumin straight from da mout)",en
4170,4171,Good Times,Glenn Fredly,https://lirik.kapanlagi.com/artis/glenn-fredly/good-times/,"You donât even have to try It comes easy for you The way you move is so appealing It could make me cry Go out driving with my friends In Bobbyâs big old beat up car Iâm with a lot of people then, you know I wonder, I wonder, where you are Good times, bad times, give me some of that Good times, bad times, give me some of that Good times, bad times, give me some of that I donât want to say goodbye Donât want to walk you to the door I spend a little time with you I want a little more Good times, bad times, give me some of that Good times, bad times, give me some of that Good times, bad times, give me some of that [ girl speak ] Good times, bad times, give me some of that Good times, bad times, give me some of that Good times, bad times, give me some of that Good times, bad times, give me some of that Good times, bad times, give me some of that Good times, bad times, give me some of that",en
4171,4172,Goodbye,Mary Jane,https://lirik.kapanlagi.com/artis/mary-jane/goodbye/,"Open a scarlet envelope Stuffed with a poem and a good bye note Twenty dollars doesn't do any good But maybe it will when you're not eating food A pocket knife in the back of your jeans A backpack filled with broken dreams Black sneakers slapping on the ground It's such a shame that I can't hear the sound You know I'd walk a million miles Just to see an honest smile                       (CHORUS) But I can't travel all that far And smiling true is just too hard Sinister thoughts run through my mind But I can wait until next time I sit here staring at the blue I know I'm lost but so are you It's not really all that fair That I can't see your shining hair It's not really all that dumb It's better than being numb (CHORUS) So why are you doing this, again? Why am I losing you all over again? Why am I flooded with tears again? Why am I sobbing so loudly again? Tell me why Tell me why Tell me why Tell me why Tell me Go find yourself in a puddle of mud Go see your reflection like you should Deserve yourself in many ways Live and love all of your days I know you won't be here for long And maybe that's why I write stupid songs All I can do is watch you leave Watch you leave Watch you leaveÃÂ¢Ã¢âÂ¬ÃÂ¦.",en
4174,4175,Goodbye Whiskey,Superman is Dead,https://lirik.kapanlagi.com/artis/superman-is-dead/goodbye-whiskey/,"First time I met you was year 1994 I fell in love with you as hard as we can go No matter what they say no matter what they do Walked together thru the black and blueâ¦ And now I wake, never know when its enaugh My blood kept telling me âhey man you gotta stopâ It hurt so bad I never wanna let you go But baby this time, this time itâs for sure Remember when, when we were downtown Punk rock song and I hold you tight like thereâs no tomorrow You got me love, you got me hell And this time we gotta say goodbyeâ¦ Goodbye whiskey, thanks for all the joy the good times and the badâ¦ Goodbye whiskey, our time is over So goodbye, till we meet again!",en
4176,4177,Goodnight Song,Mocca,https://lirik.kapanlagi.com/artis/mocca/goodnight-song/,"Lying here, singing my lullaby Letting time pass me by Counting stars in the sky And don't let the bedbugs bite Just turn off the light Make me feel all right Bidding farewell and goodnight Lying here, listening my clock tick-tick Leads me into sweet dreams It makes me start to think What do our Teddy bears do? Just turn off the light Make me feel all right Bidding farewell and goodnight Outside my window Hear sounds of the little fellow Oh, but I don't know Will they sing until tomorrow?",en
4248,4249,Great And Mighty,True Worshippers,https://lirik.kapanlagi.com/artis/true-worshippers/great-and-mighty/,"I will sing of the mercies of the Lord With my mouth will I sing of Your great Love I will lift my voice to nations' end Craying out ""Who is mighty like our God?"" For everything is Yours the heavens and the earth The north, south, east and west let every tongue confess And every knee shall bow let all the nations sing Great and mighty are You Lord who was and is to come Righteous ruler of the earth who reigns forevermore",en
4249,4250,Great Dream Society,Superman is Dead,https://lirik.kapanlagi.com/artis/superman-is-dead/great-dream-society/,"A call from confusion makes sure my head really gets in Timeâs too short, leave me out of history Move the conclusion; itâs not fully clued in The caseâs now begun, beyond the territory * Every place seems to start fade away Iâve got no more direction, that I am supposed to be My decisionâs still flying over me Hell is burning who will eat those flames? ** No matter what to say Iâm just starting up Forced to walk away Whoâs gonna lead the way up And what they say Will it be enough? Help to put me out the disease Another light movement, growing up without lessons Frozen in the flashlightâ¦the next priority? Too much louder noise makes me hard to recognize Destiny is dying, no other way to say it *, ** Dreaming of having a great society Going fast through the multi crosses Here Iâm still reading letter by letter Find the best way to break up the Ice",en
4250,4251,Great Goodbye,Coldiac,https://lirik.kapanlagi.com/artis/coldiac/great-goodbye/,"Well i know where we should go tonight Got a bouquet in my hand I heard you're leaving tonight Wait a minute, I'm on my way Cause I'm already missing you It will deeply hurt But I'm gonna dance It's the last chance to see you So, let's go out tonight Friday night, we've been talking all night long Laughing at my ugly dance Till your flight to the west missed, but who cares Let me punch my feelings later It's been a week since we met Don't count it, cause we have no time We don't need to worry Well it's not the kinda love i know, so can't be one Try at my best, girl I'm saying good bye",en
4251,4252,Great Jimmy Great,Innocenti,https://lirik.kapanlagi.com/artis/innocenti/great-jimmy-great/,Things are different now my friend No more dirty words in the show After the ''loca'' you have made The songs the styles remains the same Great jimmy great like a train move yourself leave the pain They are dancing when you sing They honored you with the king After it's over they realize You belong to them my friend,en
4254,4255,Green Tinted Sixtied Mind,Mulan Jameela,https://lirik.kapanlagi.com/artis/mulan-jameela/green-tinted-sixtied-mind/,"Mulan Jameela - Green Tinted Sixtied Mind She just woke up, but she's still tired Is that the telephone ringing? The curtains can't hold back the light That's reaching into her dreams Down in her heart If it had fingers, it'd be tearing it apart You be lookin' groovy In a sixties movie Maybe tell the press you died Little legend baby Try your very best to hide A green-tinted sixties mind She keeps some memories locked away But they are always escaping neclgect won't make them fade away They're reaching into her dreams Down in her heart Don't need fingers to be tearing it apart Gotta face the day There is no other way To clear the fog inside your mind Fill it up with dreams But all that you can seem to find A green-tinted sixties mind Hangin' out with Janis Movin' to Atlantis Could've made it if you tried What's the point of force It's easy as a horse to ride A green-tinted sixties mind You be looking groovy In a sixties movie Maybe tell the press you died Little legend baby Try your very best to hide A green-tinted sixties mind U can't hide",en
4256,4257,Grenade,Fatin Shidqia Lubis,https://lirik.kapanlagi.com/artis/fatin-shidqia-lubis/grenade/,"If my body was on fire You'd watch me burn down in flames You said you loved me, you're a liar Cause you never ever ever did Easy come, easy go That's just how you live, oh Take, take, take it all But you never give Should've known you was trouble From the first kiss Had your eyes wide open Why were they open? [Bridge] Gave you all I had And you tossed it in the trash You tossed it in the trash, you did To give me all your love Is all I ever asked Cause what you don't understand Is [Chorus] I'd catch a grenade for ya (yeah, yeah, yeah) Throw my hand on the blade for ya (yeah, yeah, yeah) I'd jump in front of a train for ya (yeah, yeah, yeah) You know I'd do anything for ya (yeah, yeah, yeah) Oh ho, I would go through all this pain Take a bullet straight through my brain Yes, I would die for you, baby But you won't do the same No, no, no, no Black, black, black and blue Beat me 'til I'm numb Tell the devil I said ""Hey"" when you get back to where you're from Bad woman, bad woman That's just what you are Yeah, you smile in my face then rip the brakes out my car [Bridge] Gave you all I had And you tossed it in the trash You tossed it in the trash, yes you did To give me all your love Is all I ever asked Cause what you don't understand Is [Chorus] I'd catch a grenade for ya (yeah, yeah, yeah) Throw my hand on the blade for ya (yeah, yeah, yeah) I'd jump in front of a train for ya (yeah, yeah, yeah) You know I'd do anything for ya (yeah, yeah, yeah) Oh ho, I would go through all this pain Take a bullet straight through my brain Yes, I would die for you, baby But you won't do the same If my body was on fire You'd watch me burn down in flames You said you loved me, you're a liar Cause you never ever ever did, baby But darling, I'd still catch a grenade for ya Throw my hand on the blade for ya I'd jump in front of a train for ya You know I'd do anything for ya I would go through all this pain Take a bullet straight through my brain Yes I would die for ya baby But you won't do the same No, you won't do the same Oh, you never do the same Ooh, you'd never do the same Ohh, no no no",en
4259,4260,Grow A Day Older,Dee,https://lirik.kapanlagi.com/artis/dee/grow-a-day-older/,"""... When I was in complete surrender of who I am, the helpless idiot venturing her endless lessons of love and life. When I was thankful that he would grow a day older and see what a mess I could be. And I can feel I am arriving in that moment again, right now, as I am cuddled like his Teddy, and still not knowing what to do or what to decide."" See the sunrise Know it's time for us to pack up all the past And find what truly lasts If everything has been written, so why worry, we say It's you and me with a little left of sanity If life is ever changing, so why worry, we say It's still you and I with silly smile as we wave goodbye And how will it be? Sometimes we just can't see A neighbor, a lover, a joker Or a friend you can count on forever? How happy, how tragic, how sorry? The sun's still up and life remains a mystery So, would it be nice to sit back in silence? Despite all the wisdom and the fantasies Having you close to my heart as I say a little grace I'm thankful for this moment cause I know that you Grow a day older and see how this sentimental fool can be When she tires to write a birthday song When she thinks so hard to make your day When she's getting lost in all her thoughts When she waits a whole day to say... ""I'm thankful for this moment cause I know that I Grow a day older and see how this sentimental fool can be When he ache his arms to hold me tight When he picks up lines to make me laugh Whan he's getting lost in all his calls When we can't wait to say : ""I love you'."" If everything has been written down, so why worry, we say It's you and me with a little left of sanity",en
4260,4261,Grow Fat With You,Still Virgin,https://lirik.kapanlagi.com/artis/still-virgin/grow-fat-with-you/,Itâs my first time To answer my heart You call me everything From attic im singing I promise I will save you like you do for me Something its special words yes be with you You telling me when I will fall You learning me so far Its should be beautiful Trying me so high When you tuck me To flying without wings Call me if you need some help To keep from all mistake I hate it when you crying in my side All I wanna do itâs grow fat with you now 2007 give me some fire cracker Miss me before you can forget me now Day by day you be my light right now Kiss me and tell me true If you save my life You come to me Itâs like a better place Will be forever Fix my letter for you See my worlds so flame,en
4308,4309,H.r.,Viper,https://lirik.kapanlagi.com/artis/viper/hr/,"[Pit Passarell - Felipe Machado] The steel is in my veins Fire is burning my head where H.R. is played Oh, believe I'll be there My heart burns in flame When the sound becomes hard My desire is just the same When I'm playing my guitar, YEAH ! People come on hear the sound That united we make in underground Working hard on stage Play till death is our vaw We'll never lose the faith While we play for the crowd They try to close the places Where we reign with our sound But we'll never let them win! We'll be forever playing loud!",en
4405,4406,Hancur Hatiku,Olga Syahputra,https://lirik.kapanlagi.com/artis/olga-syahputra/hancur-hatiku/,"[*] hancur hancur hatiku hancur hancur hatiku Back to [*] [**] hancur hancur hancur hancur hatiku hancur hancur hancur hancur hatiku Reff : hancur hancur hancur hatiku hancur hancur hancur hatiku hancur hancur hancur hatiku hatiku hancur Back to Reff Back to [*], [**], Reff Reff2 (Raffi Ahmad - Luna Maya) : hancur hancur hancur hatimu hancur hancur hancur hatimu hancur hancur hancur hatimu kasian de lo.... Back to Reff",en
4406,4407,Hancur Hatiku (Hantu),Olga Syahputra,https://lirik.kapanlagi.com/artis/olga-syahputra/hancur-hatiku-hantu/,"[*] hancur hancur hatiku hancur hancur hatiku Back to [*] [**] hancur hancur hancur hancur hatiku hancur hancur hancur hancur hatiku Reff : hancur hancur hancur hatiku hancur hancur hancur hatiku hancur hancur hancur hatiku hatiku hancur Back to Reff Back to [*], [**], Reff Reff2 (Raffi Ahmad - Luna Maya) : hancur hancur hancur hatimu hancur hancur hancur hatimu hancur hancur hancur hatimu kasian de lo.... Back to Reff",en
4413,4414,Hang Loose Baby,The Paps,https://lirik.kapanlagi.com/artis/the-paps/hang-loose-baby/,I'm gonna make it easy you're gonna do it so hang loose baby we're groovin all night I'm gonna make things easy we're gonna do that so hang loose baby we're groovin all night Gonna make this easy you gotta do it so hang loose baby we're groovin all night We're gonna dance like there's no tomorrow So why don't you just throw all your sorrow (I'm chill for real to dictate my groove / my burning feel speaks louder more than anything) You and me baby... Words could not explain it no more You and me baby... words have lost their meanings before Words... Eve do do do do do do do do do do not exist! No I can't e e e e e e e even try to resist! (I'm chill for real to dictate my groove / my burning feel speaks louder more than anything) I luv u!,en
4529,4530,Happy Little Pill,Troye Sivan,https://lirik.kapanlagi.com/artis/troye-sivan/happy-little-pill/,"In the crowd, alone With every second passing Reminds me I'm not home Back some city sounds Are ringing like a drum Unknown, unknown Oh blazed eyes, empty hearts Buying happy from shopping carts Nothing but time to kill Sipping life from bottles Tight skin, bodyguards Gucci down the boulevard Cocaine, dollar bills and My happy little pill Take me away Dry my eyes, bring color to my skies My sweet little pill, take my hunger But within, numb my skin Like a rock, afloat Sweating conversations, seeping to my bones Four walls are not enough I'll take a dip into The unknown, the unknown Oh blazed eyes, empty hearts Buying happy from shopping carts Nothing but time to kill Sipping life from bottles Tight skin, bodyguards Gucci down the boulevard Cocaine, dollar bills and My happy little pill Take me away Dry my eyes, bring color to my skies My sweet little pill, take my hunger But within, numb my skin",en
4562,4563,Hard For you,Slank,https://lirik.kapanlagi.com/artis/slank/hard-for-you/,I just need to get home I'm boring on the road But I still have to go To do some thing for a better world But I don't want u to know That I'm crying hard for u I don't want u to know That I'm missing hard for u Maybe someday we'll be together and I'll never ever let u alone You & I will make love forever and I promise you I'll never been gone anymore,en
4563,4564,Hard To Feel,Nidji,https://lirik.kapanlagi.com/artis/nidji/hard-to-feel/,"Breathing so hard I know you are right We cant be together Love is forever Throw it all way for the last time Make it go away oo..ho.. And I just want to feel * Try to believe Iâm look in to your eyes Say you don't leave me, don't leave Itâs hard to feelâ¦ oo..aa.. Try to believe Iâm look in to your heart Say you don't leave me, don't leave Itâs hard to feel Sing for the last time Listen what I say We can't be together Love is forever Back to * And I just want to feel 4x Back to *",en
4564,4565,Hard To Wait,The Morning After,https://lirik.kapanlagi.com/artis/the-morning-after/hard-to-wait/,"Daylight, once again come to me Exposing, life inside this mind disease I recover in time, and this time, I just want it to be The pictures of those yesterdays are nowhere near Cause the picture of the selfishness is nowhere to be revealed Midnight, passed away and started to fade Exposing, life outside I wanted to live, I recover in time. Cos this time, I want to be revealed Does it look hard to wait? Does it look hard to break? The pictures of those yesterdays are nowhere near Cause the picture of the selfishness is nowhere to be revealed",en
